news_id,title,category,published_at,author,updated_at
N0001,Economic Outlook: Digital Forecast,Economy,2024-10-27 12:52:39,editor_mark,2024-11-08 15:16:31
N0002,Community Support: Digital Fund,Community,2023-05-22 16:58:48,editor_jane,2024-03-30 06:16:00
N0003,Education Reform: Urban Programme,Education,2023-10-16 03:22:31,editor_mark,2024-08-05 15:09:19
N0004,Community Support: Digital Fund,Community,2024-05-01 04:34:47,editor_mark,2024-05-01 08:21:48
N0005,Education Reform: Social Programme,Education,2023-10-30 19:23:30,editor_sara,2024-07-07 02:33:09
N0006,Transport Update: Local Corridor,Transport,2024-11-15 13:12:32,editor_sara,2024-11-25 22:11:20
N0007,Infrastructure Investment in Digital,Infrastructure,2024-10-20 11:44:10,editor_mark,2024-10-28 17:19:26
N0008,Health Update: Digital Guidelines Released,Health,2022-12-31 20:32:09,editor_jane,2024-06-06 10:21:22
N0009,Education Reform: Regional Programme,Education,2022-08-17 21:45:14,editor_jane,2022-09-24 20:23:54
N0010,Transport Update: Social Corridor,Transport,2024-08-07 13:56:43,editor_sara,2024-08-21 17:20:57
N0011,Cultural Event: Social Festival,Culture,2022-10-30 01:04:15,editor_sara,2024-06-17 12:49:32
N0012,Education Reform: National Programme,Education,2022-08-18 05:51:30,editor_sara,2022-08-26 20:35:02
N0013,Education Reform: Social Programme,Education,2022-10-01 05:31:50,admin,2024-12-13 20:23:42
N0014,Housing Plan: National Development,Housing,2023-01-23 02:47:06,editor_sara,2024-11-12 00:55:14
N0015,Infrastructure Investment in Local,Infrastructure,2023-12-23 19:09:19,editor_mark,2024-09-08 01:25:50
N0016,Transport Update: Local Corridor,Transport,2024-08-09 17:20:02,editor_sara,2024-12-27 09:23:36
N0017,Housing Plan: Social Development,Housing,2023-11-24 16:51:51,editor_sara,2024-03-27 07:46:57
N0018,Environmental Report: Digital Initiative,Environment,2023-01-20 01:45:55,editor_sara,2024-11-02 09:56:39
N0019,Education Reform: National Programme,Education,2023-03-03 13:44:05,editor_mark,2024-02-08 05:33:15
N0020,Education Reform: Green Programme,Education,2023-02-27 02:16:24,admin,2023-11-14 22:55:30
N0021,Infrastructure Investment in Public,Infrastructure,2022-08-23 07:22:28,editor_jane,2023-08-17 13:25:38
N0022,Education Reform: Public Programme,Education,2022-04-10 18:37:30,editor_mark,2024-01-15 06:01:16
N0023,Housing Plan: Regional Development,Housing,2023-12-25 18:55:01,editor_jane,2024-06-04 06:12:49
N0024,Community Support: Regional Fund,Community,2023-08-29 00:44:52,editor_sara,2024-11-24 16:46:37
N0025,Transport Update: Digital Corridor,Transport,2022-01-10 03:49:18,editor_sara,2023-07-10 14:20:25
N0026,Community Support: Future Fund,Community,2024-04-16 02:19:01,editor_jane,2024-11-14 04:38:20
N0027,Transport Update: Public Corridor,Transport,2022-12-07 20:37:53,editor_sara,2023-07-07 20:30:51
N0028,New Policy Announced: Public,Policy,2023-08-28 01:38:50,editor_jane,2024-05-15 03:33:21
N0029,Transport Update: Regional Corridor,Transport,2022-07-18 06:18:32,editor_sara,2024-10-24 23:52:52
N0030,Cultural Event: National Festival,Culture,2024-05-26 18:03:29,editor_sara,2024-06-06 06:40:02
N0031,Infrastructure Investment in Regional,Infrastructure,2023-12-19 05:21:56,editor_mark,2024-02-27 19:12:10
N0032,Community Support: Social Fund,Community,2023-05-24 12:35:31,editor_mark,2023-11-04 22:13:32
N0033,Economic Outlook: Public Forecast,Economy,2023-08-12 22:50:59,editor_mark,2024-03-16 01:55:44
N0034,Health Update: Local Guidelines Released,Health,2024-01-01 14:18:35,admin,2024-01-09 02:58:30
N0035,Economic Outlook: National Forecast,Economy,2022-12-15 07:36:29,admin,2024-05-03 07:10:20
N0036,New Policy Announced: Regional,Policy,2023-01-20 03:23:23,editor_jane,2023-06-23 23:44:31
N0037,Education Reform: National Programme,Education,2022-07-16 01:51:32,editor_jane,2024-07-20 17:29:41
N0038,Transport Update: Green Corridor,Transport,2024-12-22 13:56:39,editor_jane,2024-12-25 16:34:49
N0039,Cultural Event: National Festival,Culture,2024-08-01 07:49:38,editor_jane,2024-12-24 13:24:48
N0040,Environmental Report: Regional Initiative,Environment,2022-06-17 22:12:48,editor_mark,2024-12-02 21:08:38
N0041,Cultural Event: Public Festival,Culture,2024-11-18 05:20:13,editor_jane,2024-12-06 10:36:04
N0042,Health Update: Rural Guidelines Released,Health,2024-07-08 19:00:29,admin,2024-11-19 21:30:16
N0043,Environmental Report: National Initiative,Environment,2024-11-28 23:01:33,admin,2024-12-28 02:33:21
N0044,Economic Outlook: Green Forecast,Economy,2024-04-07 14:10:56,admin,2024-09-20 22:57:16
N0045,Housing Plan: Regional Development,Housing,2024-10-02 22:09:44,editor_sara,2024-11-05 01:17:18
N0046,Transport Update: Green Corridor,Transport,2022-06-13 22:46:27,editor_sara,2024-04-17 09:41:52
N0047,Infrastructure Investment in Local,Infrastructure,2023-11-08 12:08:15,editor_mark,2024-03-24 07:34:06
N0048,Cultural Event: Social Festival,Culture,2024-04-16 00:32:24,editor_sara,2024-10-20 19:03:48
N0049,Cultural Event: Rural Festival,Culture,2023-02-21 22:30:39,admin,2023-10-30 06:42:13
N0050,Environmental Report: Social Initiative,Environment,2023-12-02 07:07:00,editor_sara,2024-06-08 17:03:38
N0051,Economic Outlook: Green Forecast,Economy,2022-02-14 14:00:48,editor_jane,2024-03-23 11:05:43
N0052,Transport Update: Digital Corridor,Transport,2022-11-26 12:24:04,editor_mark,2023-08-29 02:49:04
N0053,Environmental Report: Digital Initiative,Environment,2024-07-15 02:16:10,admin,2024-11-28 06:01:21
N0054,Housing Plan: Rural Development,Housing,2022-10-24 19:05:59,editor_sara,2023-03-06 18:58:56
N0055,Transport Update: Social Corridor,Transport,2024-05-12 10:28:09,editor_sara,2024-08-13 18:27:02
N0056,Transport Update: Digital Corridor,Transport,2022-01-27 18:52:31,editor_jane,2022-06-21 08:09:20
N0057,Community Support: Digital Fund,Community,2024-12-10 15:41:40,editor_mark,2024-12-16 13:25:47
N0058,Transport Update: Green Corridor,Transport,2024-05-09 18:58:02,editor_sara,2024-12-01 23:31:05
N0059,Housing Plan: Social Development,Housing,2023-05-29 20:47:36,editor_mark,2024-02-27 03:01:00
N0060,Environmental Report: National Initiative,Environment,2023-01-26 13:00:30,editor_jane,2023-07-24 14:32:56
N0061,Economic Outlook: Urban Forecast,Economy,2022-07-05 17:19:25,editor_jane,2024-10-15 03:46:48
N0062,Education Reform: Future Programme,Education,2024-01-23 04:13:54,editor_mark,2024-05-09 13:23:41
